1.0 0:1 38290:1  58013:1.0  
1.0 1:1 36995:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 38424:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 38513:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 36129:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 37941:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 1:1 41498:1  43124:0.288675134595 43508:0.288675134595 46366:0.288675134595 48982:0.288675134595 51073:0.288675134595 52966:0.288675134595 56718:0.288675134595 58147:0.288675134595 58236:0.288675134595 55852:0.288675134595 57664:0.288675134595 61221:0.288675134595  
1.0 2:1 24709:1  44432:1.0  
1.0 3:1 35459:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
1.0 3:1 38059:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
1.0 3:1 40504:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
1.0 3:1 40645:1  55182:0.5 57782:0.5 60227:0.5 60368:0.5  
1.0 4:1 23628:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 24802:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 25275:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 25573:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 25886:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29745:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29745:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29745:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29745:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29745:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 30131:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 29743:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 31187:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 31998:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 33526:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 36789:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 37580:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 38109:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 38378:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 38378:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 39772:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 4:1 40803:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
1.0 5:1 30858:1  50581:1.0  
1.0 6:1 26216:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 6:1 29433:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 6:1 28585:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 6:1 34876:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 6:1 38109:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 6:1 40645:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
1.0 7:1 25222:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 28472:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 28788:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 29108:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 31232:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 34876:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 35493:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 7:1 40645:1  44945:0.353553390593 48195:0.353553390593 48511:0.353553390593 48831:0.353553390593 50955:0.353553390593 54599:0.353553390593 55216:0.353553390593 60368:0.353553390593  
1.0 8:1 34385:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 34197:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 34215:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 34634:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 35529:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 35530:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 36884:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 35162:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 38589:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 37940:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 39243:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 39033:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 8:1 41741:1  54108:0.277350098113 53920:0.277350098113 53938:0.277350098113 54357:0.277350098113 55252:0.277350098113 55253:0.277350098113 56607:0.277350098113 54885:0.277350098113 58312:0.277350098113 57663:0.277350098113 58966:0.277350098113 58756:0.277350098113 61464:0.277350098113  
1.0 9:1 33480:1  53203:0.707106781187 57782:0.707106781187  
1.0 9:1 38059:1  53203:0.707106781187 57782:0.707106781187  
1.0 10:1 24129:1  43852:0.5 44350:0.5 48308:0.5 60245:0.5  
1.0 10:1 24627:1  43852:0.5 44350:0.5 48308:0.5 60245:0.5  
1.0 10:1 28585:1  43852:0.5 44350:0.5 48308:0.5 60245:0.5  
1.0 10:1 40522:1  43852:0.5 44350:0.5 48308:0.5 60245:0.5  
1.0 11:1 28585:1  48308:0.57735026919 57345:0.57735026919 55853:0.57735026919  
1.0 11:1 37622:1  48308:0.57735026919 57345:0.57735026919 55853:0.57735026919  
1.0 11:1 36130:1  48308:0.57735026919 57345:0.57735026919 55853:0.57735026919  
1.0 12:1 23401:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 23315:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 23315:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 24009:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 23886:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 24168:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 24335:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 25970:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 26166:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 26146:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 26751:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 27107:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 28707:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
1.0 12:1 28607:1  43124:0.188982236505 43038:0.188982236505 43732:0.188982236505 43609:0.188982236505 43891:0.188982236505 44058:0.188982236505 45693:0.188982236505 45889:0.188982236505 45869:0.188982236505 46474:0.188982236505 46830:0.188982236505 48430:0.188982236505 48330:0.188982236505 48512:0.188982236505 49369:0.188982236505 50184:0.188982236505 48308:0.188982236505 50976:0.188982236505 51247:0.188982236505 52357:0.188982236505 53411:0.188982236505 55078:0.188982236505 57423:0.188982236505 58604:0.188982236505 58729:0.188982236505 59458:0.188982236505 60368:0.188982236505 61493:0.188982236505  
